Title,description,authors,publishedDate,categories,pages_count,price,shop_id,stock
The big war,"“One must go back to All Quiet on the Western Front to find another novel as charged as this one!” — Philadelphia Inquirer NATIONAL BESTSELLER They were our husbands, our fathers, our lovers, our sons. They were Americans and Marines. And this is their story: The Big War, Anton Myrer's panoramic novel of Marines in the Pacific in World War II. This is the story of Alan Newcombe, the Boston society Harvard man; Danny Kantaylis, the natural-born leader; Jay O'Neill, the barroom scrapper. Myrer does not glorify war; he does not flinch from describing what the actual experience of warfare was like for a desperate group of Marines trapped in some of the worst fighting conditions of the war. We learn about their lives at home and their fates on the battlefield.",Anton Myrer,2009-10-13,Fiction,227,145.17,mega_market,True
Jewish Baby Boomers: A Communal Perspective (Suny Series in American Jewish Society in the 1990s),A thorough analysis of the religious and ethnic identification of America's Jewish baby boomers.,Chaim I. Waxman,2012-02-01,Social Science,256,101.08,mega_market,True
Cheaters: And Other Stories,The first collection of stories by an author twice cited as an Outstanding Writer by The Pushcart Prize contains tales about men and woman on the brink of making momentous decisions that will change their lives.,Dean Albarelli,1996,Fiction,251,120.4,mega_market,True
An Unhallowed Grave: A Wesley Peterson Crime Novel (Wesley Peterson Crime Novels),"Officials suspect foul play when the body of a well-liked local doctor's assistant is discovered hanging from a tree in Stokeworthy Churchyard, and Detective Peterson finds out that arhaeologists recently excavated an ancient corpse who was allegedly hanged from the same tree five hundred years ago.",Kate Ellis,2001-05-18,Fiction,167,21.94,mega_market,True
"In English, of Course","Josephine tries to tell her new American class about her life in Naples, Italy, but her teacher misunderstands what she is saying and thinks she grew up on a farm.",Josephine Nobisso,2002,Juvenile Fiction,287,142.03,mega_market,True
Hippocrene Language and Travel Guide to Ukraine,"This updated edition has been completely revised for 2000. It contains new photographs, maps and sites of interest, along with details about visas and customs, airlines, tours, hotels, shopping and a section covering the region's history.","Linda Hodges, George Chumak",2000,Foreign Language Study,233,40.6,mega_market,True
Addicted to War: Why the U.S. Can't Kick Militarism,"Addicted to War is a hard-hitting expose of the world's most powerful and destructive military force. It asks the question, why has the United Styates been in more recent wars than any ohter country. In answering, this illustrated guide documents those who benefit from these military escapades, those who pay and those who die. Updated to include the war on Iraq. Addicted to War is a must read for all Americans who are concerned with understanding the true nature of US foreign policy and how it affects us here at home' - Martin Sheen'",Joel Andreas,2004,History,172,79.03,mega_market,True
Teach Yourself Portuguese Complete Course Package (Book + 2CDs) (TY: Complete Courses),"Bestselling language courses now with audio CDs! From Danish to Spanish, Swahili to Brazilian Portuguese, the languages of the world are brought within the reach of any beginning student. Learners can use the Teach Yourself Language Courses at their own pace or as a supplement to formal courses. These complete courses are based on the very latest learning methods and designed to be enjoyable and user-friendly. Prepared by experts in the language, each course begins with the basics and gradually promotes the student to a level of smooth and confident communication, including: Up-to-date, graded interactive dialogues Graded units of culture notes, grammar, and exercises Step-by-step guide to pronunciation Practical vocabulary Regular and irregular verb tables Plenty of practice exercises and answers Bilingual glossary The new editions also feature: Clear, uncluttered, and user-friendly layout Self-assessment quizzes to test progress Website suggestions to take language study further","Jaehoon Yeon, Mark Vincent",2003-03-27,Foreign Language Study,256,143.99,mega_market,True
"Collections for Young Scholars (Collections for Young Scholars , Vol 2, No 2)",Collections for Young Scholars focuses on English/Language Arts with an emphasis on phonics instruction and authentic literature at the elementary level.,Marilyn Jager Adams,1997-06,Juvenile Fiction,383,35.11,mega_market,True
Japanese Prints from the Early Masters to the Modern,"In James A. Michener the Japanese print has found its ideal commentator. Combining the finished literary style of an outstanding novelist with a mature knowledge of his subject, he is able to bring this great art form to life in words, directly communicating his understanding, love, and enthusiasm rather than obscuring his subject in pedantry. In fact, it might almost be said that he here lets the prints speak for themselves, in a wealth of magnificent illustrations and apt but unobtrusive commentary. It is only when one has finished the book that he realizes he has been conducted on a tour of three centuries of art, a tour so carefully arranged as to give a deep understanding of the history and aesthetics of Japanese prints, a new appreciation of a superlative art. The book has many other unique features. So far as consonant with his aim of presenting a full survey, Mr. Michener has illustrated the book with lesser-known masterpieces rather than with those few prints that have been reproduced almost ad nauseam. Unlike earlier books, this does not stop with the past century, but brings the subject completely up to date, introducing, in the modern Japanese print, some of the most exciting art being created in Japan—and in the world—today. The book also becomes a revealing account of the collecting of Japanese prints, with many valuable hints to collectors based upon the author's own experiences in gathering together one of the best print collections of recent years: it is a collecting field in which many hints are needed, with prices varying from $5 to $5,000 per print, and with forgeries and doubtful attributions on every hand.",James Michener,2013-12-13,Art,377,14.97,mega_market,False
His Bonnie Bride,"New York Times bestselling author Hannah Howell traverses the embattled border between England and Scotland, where two warring families prolong centuries of discord. . . Storm Eldon was first caught up in the war between England and Scotland as a young girl, when she and her family were held hostage by their sworn enemies, the MacLagans. Years later, Storm finds herself trapped in the clutches of her Scottish adversaries once again. Now she must fight to preserve her loyalties, guard her virtue, and resist the charms of Tavis MacLagan, her handsome Highland captor. . . Praise for Hannah Howell and her Highland novels ""Few authors portray the Scottish highlands as lovingly or colorfully."" --Publishers Weekly ""Another classic."" --Romantic Times",Hannah Howell,2011-10-24,Fiction,217,51.59,mega_market,True
Famous painters of America [microform],"Outside Britain itself, the richest holdings of British art are found in American collections. This extraordinary presentation of some 85 works pays tribute to this strength of American collecting, while offering a fresh and engaging account of the history of painting in Britain from the sixteenth century to the present. The selection is drawn from collections from around the United States, both public and private, and includes spectacular pictures from the Yale Center for British Art and the Huntington Art Collections in California, the two leading collections of British art in America. Among the highlights are such masterpieces as Sir Anthony Van Dyck's portrait of Queen Henrietta Maria with her dwarf, Sir Jeffrey Hudson, William Hogarth's Beggar's Opera, Thomas Gainsborough's Blue Boy, Henry Fuseli's Nightmare, John Constable's Hadleigh Castle, J. M. W. Turner's Staffa, Fingal's Cave, and William Holman Hunt's Lady of Shalott. Following introductory essays by Malcolm Warner on anglophilia and art, and by Robyn Asleson on the history of collecting British art in the States, each painting is reproduced in colour, with a discussion of its artistic importance and the circumstances o","Malcolm Warner, Robyn Asleson, Julia Marciari Alexander, Brian Allen, Patrick McCaughey, Yale Center for British Art",2001,Art,212,31.89,mega_market,True
Destiny Feared: Volume III: The Circular Arrow,"Destiny Feared entwines fantasy and philosophy in a high-adventure tale suitable for youths, adults, and any who wonder.",K. D. Snyder,2005-12,Fiction,820,103.52,mega_market,True
The Baseball Timeline (DK American Original),"A comprehensive, chronological history of baseball and its players includes every record and statistic, winners and losers, red-hot bats and golden gloves, memorable games and outstanding moments, and other key aspects of major league baseball.",Burt Solomon,2001,Sports & Recreation,368,48.97,mega_market,True
The collected poems of A E Housman,"Presents the texts, authorized in 1939, of the modern British writer's poems and classical translations, providing insight into his literary style and concerns",A. E. Housman,1971-04-15,Poetry,280,18.8,mega_market,True
Southern Lawns: A Step-by-Step Guide to the Perfect Lawn,"Easy-to-read information and full-color photography guide the readers to information on the best grasses that grow in the hot, humid South, and instructions on planting and maintenance for each season of the year.","Chris Hastings, Don Hastings",2000,Gardening,289,135.02,mega_market,True
"E-Health, Telehealth, and Telemedicine: A Guide to Startup and Success","E-Health, Telehealth, and Telemedicine is a hands-on resource that shows how communication technologies can be designed, implemented, and managed to help health care professionals expand and transform their organizations. Step by step the authors reveal how to introduce innovative communication tools to a wide range of health care settings. This indispensable book contains a wealth of information, suggestions, and advice about program development, ethical, legal and regulatory issues, and and technical options.","Marlene Maheu, Pamela Whitten, Ace Allen",2002-02-28,Medical,292,16.93,mega_market,True
The Medieval Spains (Cambridge Medieval Textbooks),"Tracing the political evolution of the Iberian peninsula from late Roman imperial provinces to monarchies of the mid-fifteenth century, essays on the significant periods of medieval Spain sketch the major political, economic, social and intellectual features of their times.",Bernard F. Reilly,1993-06-03,History,303,47.98,mega_market,True
"Goodbye Hangovers, Hello Life: Self Help for Women",The founder of Women for Sobriety explains the self-help system she devised to cure herself of alcoholism and discusses the special problems of the woman alcoholic and how to overcome them,Jean Kirkpatrick,1986,Health & Fitness,374,43.64,mega_market,True
Every Golf Question You Ever Wanted Answered: How to Increase Your Knowledge and Improve Your Game,"Argues for strength training as a way to improve a golfer's game, and includes specific exercises, nutrition information, and a workout schedule.",John Little,2012-08-15,Health & Fitness,301,13.29,mega_market,True
The Incomparable Atuk,"Transplanted to Toronto from his native Baffin Island, Atuk the poet is an unlikely overnight success. Eagerly adapting to a society steeped in pretension, bigotry, and greed, Atuk soon abandons the literary life in favour of more lucrative – and hazardous – schemes. Richler’s hilarious and devastating satire lampoons the self-deceptions of “the Canadian identity” and derides the hypocrisy of a nation that seeks cultural independence by slavishly pursuing the American dream.",Mordecai Richler,2010-12-31,Fiction,196,33.13,mega_market,True
Hard-pressed in the heartland; the hormel strike and the future of the labor movement,"Hard-Pressed in the Heartland tells the heartbreaking but empowering story of a spirited local union trying to resist management's drive for concessions--while fending off a conservative national union leadership unwilling to support its own members. Going beyond academic history, it offers useful perspectives for rebuilding a democratic, militant, community-based unionism that can succeed where today's bureaucratic unionism cannot.",Peter J. Rachleff,1993,History,379,124.08,mega_market,True
Choosing Joy at Work,"Through a deeper understanding of seeing, influencing, and creating joy at work, readers in any box on the organizational chart can take the next step towards freedom and joy by exercising their personal power.",Roger Wyer,2006-01,Business & Economics,258,15.25,mega_market,True
Women and Dieting Culture: Inside a Commercial Weight Loss Group,"Commercial weight loss organizations have come under attack from feminist scholars for perpetuating the very social values that cause women to obsess about their weight. InWomen and Dieting Culture, sociologist Kandi Stinson asks how these values are transmitted and how the women who join such organizations actually think about their bodies and weight loss. As part of her research, Stinson fully participated in a national, commercial weight-loss organization as a paying member. Her acute analysis and sensitive insider's portrayal vividly illustrate the central roles dieting and body image play in women's lives. As she experiences the program and interviews other members, Stinson discovers that the women view the causes and cures of being overweight according to five distinct, though often overlapping, concepts: self-help, work, religion, addiction, and feminism. Drawing extensively on the dieters' own words, Stinson explores each of these concepts and outlines how they form interrelated patterns which, when analyzed, yield an exciting new perspective on the transmission of cultural values.","Kandi M. Stinson, Professor Kandi Stinson",2001,Health & Fitness,139,13.25,mega_market,True
Building Trust: How to Get It! How to Keep It!,"This is NOT a book about the importance of trust. Building Trust is about HOW TO BUILD TRUST and maintain it. Very little of the materials on trust are practical and helpful. Of the thousands of pieces of writing on the topic of trust, almost none of them say: ""Here's a step-by-step method for building trust - inter-personally and organizationally."" Building Trust will tell you: Practical steps to improve trust. What you may be doing that's not helpful and why. What you may have believed about trust-building that won't really produce trust in the long haul. Ways to clean up broken or fractured trust.",Hyler Bracey,2002-01-01,Self-Help,292,98.76,mega_market,True
Joseph Foveaux: Power and Patronage in Colonial New South Wales,"This book contains biographical accounts of all 37 Governors of New South Wales from Arthur Phillip in 1788 to Marie Bashir.Highlights of the book include John Hunter's amazing sea voyages, the erratic career of the 'devious and foul-tempered' William Bligh, the highly public clashes of Sir Hercules Robinson (nicknamed the 'Crisis maker') with Governments and Parliament, the 'Boy's Own' Naval career of the swashbuckling Sir Harry Rawson, the extraordinary double life of Lord Beauchamp and the dramatic events surrounding Sir Philip Game's dismissal of Jack Lang.Leading historians such as Brian Fletcher, JM Bennett, Geoffrey Bolton, Graham Freudenberg, Anne Twomey, Chris Cunneen, Ian Hancock, Evan Williams and Rodney Cavalier tell of both extraordinary lives and the political and constitutional crises many had to face.",David Clune,2009,Political Science,362,22.45,mega_market,True
From Egg to Spider (How Living Things Grow),"Describes the life cycle of spiders, including how they molt, find food, mate, and guard their eggs.",Anita Ganeri,2006,Juvenile Nonfiction,300,62.02,mega_market,True
Guess How Much I Love You Book and Audiocassette Tape Set (Paperback),"Mama, do you love me? Yes I do Dear One. How much? In this universal story, a child tests the limits of independence and comfortingly learns that a parent's love is unconditional and everlasting. The story is made all the more captivating by its unusual Arctic setting. The lyrical text introduces young readers to a distinctively different culture, while at the same time showing that the special love that exists between parent and child transcends all boundaries of time and place. The story is beautifully complemented by graphically stunning illustrations that are filled with such exciting animals as whales, wolves, puffins, and sled dogs, and a carefully researched glossary provides additional information on Arctic life. This tender and reassuring book is one that both parents and children will turn to again and again.",Barbara M. Joosse,2017-11-28,Juvenile Fiction,153,10.3,mega_market,True
Floral Illusions for Quilters,"Go off center and enjoy creating unique quilts with asymmetrical designs. These 9 throw and wall hanging sized quilts from Phyllis Dobbs will add drama to your décor. The designs feature both traditional and non-traditional blocks combined in very untraditional arrangements. Whimsical applique adorns several quilts for exciting floral designs or geometrics. The designs are created for all skill levels from beginning to advanced, so there is something for everyone in this book. The 9 designs include Imagination, Windmills of Colour, Which Direction?, Illusions, Floral Majesty, Tilt A Whirl, Swirling Stars, Garden Maze and Splash of Flowers.",Phyllis Dobbs,2012,Crafts & Hobbies,278,60.73,mega_market,True
Arrau: la msica por dentro y por fuera.(Cuatro aproximaciones al arte de Arrau)(Resea de libro): An article from: Siempre!,"This book describes how different nations have defined the core competencies and skills that young people will need in order to thrive in the twenty-first-century, and how those nations have fashioned educational policies and curricula meant to promote those skills. The book examines six countries—Chile, China, India, Mexico, Singapore, and the United States—exploring how each one defines, supports, and cultivates those competencies that students will need in order to succeed in the current century. Teaching and Learning for the Twenty-First Century appears at a time of heightened attention to comparative studies of national education systems, and to international student assessments such as those that have come out of PISA (the Program for International Student Assessment), led by the Organisation for Economic Co-operation and Development. This book’s crucial contribution to the burgeoning field of international education arises out of its special attention to first principles—and thus to first questions: As Reimers and Chung explain, “much can be gained by an explicit investigation of the intended purposes of education, in what they attempt to teach students, and in the related questions of why those purposes and how they are achieved.” These questions are crucial to education practice and reform at a time when educators (and the students they serve) face unique, pressing challenges. The book’s detailed attention to such questions signals its indispensable value for policy makers, scholars, and education leaders today.","Fernando M. Reimers, Connie K. Chung",2019-01-02,Education,329,54.53,mega_market,True
Winter Dreams : A Novel,"The son of the owner of the second-best grocery store in a small Minnesota town, finds himself enacting a series of impetuous deeds inspired by his so-called ‘winter dreams’, which drive him to desire material success. But can they drive him to the woman of his dreams?",F. Scott Fitzgerald,2020-04-14,Fiction,262,95.78,mega_market,True
Anna's Friends,"Follows the epic adventures of fearless optimist Anna, who teams up with rugged mountain man Kristoff and his loyal reindeer to rescue her sister, Elsa, from a kingdom of eternal winter.",Christy Webster,2014,Juvenile Fiction,222,79.87,mega_market,False
"Raising the Bar: Better Drinks, Better Entertaining","Introduces more than 250 cocktail recipes, ranging from familiar drinks to exotic specialties, accompanied by recipes for homemade garnishes, cocktail snacks, syrups, cordials, and sauces made from drink elements.",Nick Mautone,2004-01-01,Cooking,394,104.99,mega_market,False
The Business of America: How Consumers Have Replaced Citizens and How We Can Reverse the Trend (Pathways Through the Twenty-First Century),"First published in 2004. Routledge is an imprint of Taylor & Francis, an informa company.",Saul Landau,2004-08-15,Political Science,171,141.02,mega_market,True
Song for Nobody: A Memory Vision of Thomas Merton,"A close friend, fellow poet, & kindred spirit of Thomas Merton recaptures the final decade in the life of the monk who has had a profound & lasting impact on millions worldwide. ""Many are the books about Thomas Merton. But none of the others are like this one, which is filled with love, joy & light."" (Praying)",Ron Seitz,1993,Religion,167,121.32,mega_market,True
Beyond Concepts: The Investigation of Who You Are Not,"Written from the perspective of Western intellect, ""Beyond Concepts"" unravels concepts in a way that can leave readers questioning every belief they have ever held about life and their existence. Only one question is worth asking: How do you know that you are?",Esther Veltheim,2000-08-01,Psychology,299,140.7,mega_market,True
Charlemagne's Tablecloth,"Feasts, banquets, and grand dinners have always played a vital role in our lives. They oil the wheels of diplomacy, smooth the paths of the ambitious, and spread joy at family celebrations. They lift the spirits, involve all our senses and, at times, transport us to other fantastical worlds. Some feasts have given rise to hilarious misunderstandings, at others competitive elements take over. Some are purely for pleasure, some connect uncomfortably with death, but all are interesting. Nichola Fletcher has written a captivating history of feasts and entertaining throughout the ages that includes the dramatic failures along with the dazzling successes. From a humble meal of potatoes provided by an angel, to the extravagance of the high medieval and Renaissance tables groaning with red deer and wild boar, to the exquisite refinement of the Japanese tea ceremony, Charlemagne's Tablecloth covers them all. In her gustatory exploration of history's great feasting tables, Fletcher also answers more than a few riddles, such as ""Why did Charlemagne use an asbestos tablecloth at his feasts?"" and ""Where did the current craze for the elegant Japanese Kaiseki meal begin?"" Fletcher answers these questions and many more while inviting readers to a feasting table that extends all the way from Charlemagne's castle to her own millennium feast in Scotland. This is an eclectic collection of food and feasts from the flamboyant to the eccentric, the delicious to the disgusting, and sometimes just the touchingly ordinary. For anyone who has ever sat down at a banquet dining table and wondered, ""Why?"" Nichola Fletcher provides the delicious answer in a book that is a feast all its own.",Nichola Fletcher,2014-02-04,History,241,17.59,mega_market,True
Bohemian Style,"Bohemian style is characterized by free-flowing fabrics, bright colours and a multitude of clashing patterns. Heavily inspired by the 1960s and 1970s free-spirited way of life, it is one of the most versatile styles of decoration. Sometimes rule-breaking and always personal, it could be best described as a an effort to live in complete harmony with your surroundings. Forget about famous designers and carefully planned decorating schemes - boho is a style often built up over time and is the antithesis of trend-following. This handbook shows how to create a tailor-made Bohemian home. Working through the house one room at a time, it highlights classic items of furniture and signature accessories, from chandeliers and kilims to plants and lanterns. In-depth case studies demonstrate the essential elements and provide inspiration, while colour combinations are explored to help personalize this iconic style for the home. Anyone who hankers after the Bohemian look and is eager to bring it to their own home will find this book a valuable resource.",Kate Young,2019-06-13,Bohemianism in art,377,148.65,mega_market,True
The Glass Painting Book,"Taking inspiration from the luminous beauty of stained glass, painting on glass is a simple yet dramatically effective decorative technique which involves little cost and, with the help of this book, can be enjoyed by all artistic abilities. A complete introduction to the craft, it contains a complete guide to materials and techniques, a host of projects to try, a library of trace-off motifs and an invaluable trouble shooting section. Decorate plates, glasses, bottles, trinket boxes, mirrors, picture frames, vases, cabinet doors, storage jars and many other items with the ideas presented here. Detailed step-by-step instructions are accompanied by specially commissioned colour photographs of the projects to ensure success every time. Once you have started painting on glass, you will find it hard to stop, and will never look at a plain glass surface in the same way again!",Jane Dunsterville,2003,Crafts & Hobbies,341,55.09,mega_market,True
The Raft,"Robbie's last-minute flight to the Midway Atoll proves to be a nightmare when the plane goes down in shark-infested waters, but the real terror begins when the co-pilot Max pulls her onto the raft.",S.A. Bodeen,2013-05-28,Juvenile Fiction,270,48.74,mega_market,True
Coping with Schizophrenia: A Guide for Families,"Will the person you love ever get better? Chances are you've grappled with the question. With care and support from their families, people with schizophrenia can and do make vast improvements. Noted therapists Kim Mueser and Susan Gingerich deepen your understanding of the illness and cover a wide range of effective treatments. Based on decades of research and experience, they offer pragmatic suggestions for dealing with depression, psychosis, and other symptoms. They show you how to prioritize needs, resolve everyday problems, and encourage your loved one to set life goals. Plus, individual sections highlight special issues for parents, children, siblings, and partners. Whether you’re facing schizophrenia for the first time or you’ve dealt with its impact for years, you’ll discover innovative ways to handle challenges that arise over the course of treatment, from reducing the chances of relapse to making friends and finding work. Recovery isn't an endpoint--it's a lifelong journey. With love, hope, and realistic optimism, striving for it can lead to a richer, more rewarding life for your entire family. Winner, NAMI/Ken Book Award","Kim T. Mueser, Susan Gingerich",2006-05-26,Psychology,268,66.49,mega_market,True
Playboy Adult Magazine:May 2006,"The electronic age is bringing sweeping changes to entertainment and media of all kinds, including publishing, broadcasting and film. Multimedia, the Internet and other digital media outlets for entertainment and information are being refined at a rapid rate. Media giants are merging and making big acquisitions. This book covers these exciting developments and provides profiles on hundreds of leading firms in film, radio, television, cable, new media, and publishing of all types including books, magazines and newspapers. It contains thousands of contacts for business and industry leaders, industry associations, Internet sites and other resources. You'll get in-depth profiles of nearly 400 of the world's top Entertainment & Media firms: our own unique list of companies that are the leaders in this field. Here you'll find complete profiles of the hot companies that are making news today, the largest, most successful corporations in all facets of the Entertainment and Media Business, from broadcasters to film production companies, casino operators to theme park companies, publishers of books and magazines to video game designers, and much more. Our corporate profiles include executive contacts, growth plans, financial records, address, phone, fax and much more. This innovative book offers unique information, all indexed and cross-indexed more for each firm! Our industry analysis section provides an exceptional discussion of business and market trends. The book includes statistical tables covering revenues for several industry sectors. Purchasers of either the book or PDF version can receive a free copy of the company profiles database on CD-ROM, enabling key word search and export of key data.",Jack W. Plunkett,2006,Business & Economics,342,119.66,mega_market,False
The Gonne-Yeats Letters 1893-1938 (Irish Studies),"When he was 21 years old, W.B. Yeats fell in love with a young Irish actress, Maud Gonne. Despite her refusal to marry him, he continued to write poems that ensure her lasting fame. The majority of his letters to Gonne were destroyed by the British when they ransacked her Dublin home, but those that remain show how deeply distressed he was when she married John MacBride. Yet he celebrated her beauty, shared her devotion to the Irish cause, interested her in mysticism, shared visions with her and entered into a spiritual marriage with her. Her own letters reveal her tempestuous private life involving a love affair with Lucien Millevoye, a French politician and journalist and father of their two children.","Maud Gonne, Maud Gonne MacBride, William Butler Yeats",1992,"Authors, Irish",327,143.6,mega_market,True
Bess and Bella,"Bess is feeling terribly lonely when out of the sky tumbles a bird named Bella, her tiny suitcases packed with all manner of wonderful things.",Irene Haas,2006,Juvenile Fiction,298,87.59,mega_market,True
The Usborne History of the Twentieth Century (History of the Modern World),"Introduces the major events and people in world history in the twentieth century, and discusses developments in technology, the arts, and society.",Christina Hopkinson,1993,Juvenile Nonfiction,309,31.61,mega_market,True
The Lorax (Turtleback School & Library Binding Edition),"Easy-to-read, rhyming text introduces the Lorax and the place he calls home.",Tish Rabe,2012,Juvenile Fiction,61,39.97,mega_market,False
Aeschylus: Eumenides (Cambridge Greek and Latin Classics),"Professor Sommerstein presents here a freshly constituted text, with introduction and commentary, of Eumenides, the final play in Aeschylus' Oresteia trilogy.","Eschyle, Esquilo, Aeschylus",1989-11-09,Drama,184,66.75,mega_market,True
All-New Hints from Heloise Updated (Perigee),"For over thirty years Heloise's column ""Hints from Heloise"" has been an American institution, read by millions daily. In All-New Hints from Heloise, her first new household-hints book in almost a decade, Heloise has created an indispensable home reference guide that focuses specifically on today's changing life-styles. The operative word today is convenience--getting what has to be done accomplished in the limited time available. You will still find an abundance of the time-tested household hints from Heloise so many have come to expect, from removing spots and stains to caring for household plants and fixing squeaky floors. In addition, you will also find scores of hints on using and maintaining household appliances that simply didn't exist in most homes a decade ago. Organized by subject, and cross-referenced with a comprehensive index, All-New Hints from Heloise provides up-to-date advice on everything from home care inside and outside to travel, entertainment, children, pets, and more. This is the first household self-help book to take readers beyond the traditional concerns of the past and help prepare them to overcome the hurdles of the '90s.",Heloise,1989-04-17,House & Home,217,61.21,mega_market,True
